,A,B,M,N,V/I
412,-145.0,95.0,-65.0,15.0,0.14219342125246656
413,-135.0,105.0,-55.0,25.0,0.14013054454209845
414,-125.0,115.0,-45.0,35.0,0.1389556671084918
415,-115.0,125.0,-35.0,45.0,0.13895566710849167
416,-105.0,135.0,-25.0,55.0,0.14013054454209803
417,-95.0,145.0,-15.0,65.0,0.14219342125246603
418,-85.0,155.0,-5.0,75.0,0.14472883382650423
419,-75.0,165.0,5.0,85.0,0.14735536415815725
420,-65.0,175.0,15.0,95.0,0.1497898307841911
421,-55.0,185.0,25.0,105.0,0.15183983332975853
422,-45.0,195.0,35.0,115.0,0.15339427944937653
423,-35.0,205.0,45.0,125.0,0.15444754781668368
424,-25.0,215.0,55.0,135.0,0.15513172806818026
425,-15.0,225.0,65.0,145.0,0.15569806521306306
426,-5.0,235.0,75.0,155.0,0.1564374513875622
427,5.0,245.0,85.0,165.0,0.15759854650493887
428,15.0,255.0,95.0,175.0,0.1593479370421257
429,25.0,265.0,105.0,185.0,0.1617601920319698
430,35.0,275.0,115.0,195.0,0.16480923350843069
431,45.0,285.0,125.0,205.0,0.16835543390247948
432,55.0,295.0,135.0,215.0,0.17215421442418816
433,65.0,305.0,145.0,225.0,0.1759162668050948
434,75.0,315.0,155.0,235.0,0.17939931714210322
435,85.0,325.0,165.0,245.0,0.1824658636603338
436,95.0,335.0,175.0,255.0,0.18507867793444682
437,105.0,345.0,185.0,265.0,0.18726373992348277
438,115.0,355.0,195.0,275.0,0.18907482801358905
439,125.0,365.0,205.0,285.0,0.19057166943611298
440,135.0,375.0,215.0,295.0,0.1918096563587347
441,145.0,385.0,225.0,305.0,0.19283629560350593
442,155.0,395.0,235.0,315.0,0.19369084010348264
443,165.0,405.0,245.0,325.0,0.1944051586356152
444,175.0,415.0,255.0,335.0,0.19500493626638615
445,185.0,425.0,265.0,345.0,0.19551083532100816
446,195.0,435.0,275.0,355.0,0.1959394940999423
447,205.0,445.0,285.0,365.0,0.19630434371959146
448,215.0,455.0,295.0,375.0,0.19661626101543647
449,225.0,465.0,305.0,385.0,0.1968840853441619
450,235.0,475.0,315.0,395.0,0.19711502643104872
451,245.0,485.0,325.0,405.0,0.19731498637970307
452,255.0,495.0,335.0,415.0,0.19748881445213093
453,265.0,505.0,345.0,425.0,0.197640509224571
454,275.0,515.0,355.0,435.0,0.1977733794609379
455,285.0,525.0,365.0,445.0,0.19789017247862561
456,295.0,535.0,375.0,455.0,0.19799317678785977
457,305.0,545.0,385.0,465.0,0.1980843042349354
458,315.0,555.0,395.0,475.0,0.19816515565417303
459,325.0,565.0,405.0,485.0,0.19823707302949609
460,335.0,575.0,415.0,495.0,0.19830118028484947
461,345.0,585.0,425.0,505.0,0.1983584139538131
462,355.0,595.0,435.0,515.0,0.19840954398799757
463,365.0,605.0,445.0,525.0,0.19845518369334222
464,375.0,615.0,455.0,535.0,0.19849578613145635
465,385.0,625.0,465.0,545.0,0.19853162249368
466,395.0,635.0,475.0,555.0,0.19856273648334682
467,-635.0,-155.0,-475.0,-315.0,0.09315155860945115
468,-625.0,-145.0,-465.0,-305.0,0.092378270930014
469,-615.0,-135.0,-455.0,-295.0,0.09148750599135042
470,-605.0,-125.0,-445.0,-285.0,0.09046075475331734
471,-595.0,-115.0,-435.0,-275.0,0.08927821020977092
472,-585.0,-105.0,-425.0,-265.0,0.08792050153373582
473,-575.0,-95.0,-415.0,-255.0,0.08637229493337484
474,-565.0,-85.0,-405.0,-245.0,0.0846288899145965
475,-555.0,-75.0,-395.0,-235.0,0.08270662798591821
476,-545.0,-65.0,-385.0,-225.0,0.08065553163333751
477,-535.0,-55.0,-375.0,-215.0,0.07856665472570054
478,-525.0,-45.0,-365.0,-205.0,0.07656124080379825
479,-515.0,-35.0,-355.0,-195.0,0.07475777099758464
