,A,M,V/I
1817,-355.0,185.0,0.02073149929427741
1818,-355.0,195.0,0.020490386361721513
1819,-355.0,205.0,0.020253457369811958
1820,-355.0,215.0,0.02002071763508855
1821,-355.0,225.0,0.019792152452861027
1822,-355.0,235.0,0.01956773180338449
1823,-355.0,245.0,0.019347413924486218
1824,-355.0,255.0,0.01913114805182907
1825,-355.0,265.0,0.018918876541436043
1826,-355.0,275.0,0.01871053652895767
1827,-345.0,-335.0,1.598878886226037
1828,-345.0,-325.0,0.788690069628289
1829,-345.0,-315.0,0.522243020993299
1830,-345.0,-305.0,0.38898930822631084
1831,-345.0,-295.0,0.30896208719596896
1832,-345.0,-285.0,0.25559009074162276
1833,-345.0,-275.0,0.21739903474989128
1834,-345.0,-265.0,0.18865032480059885
1835,-345.0,-255.0,0.1661766589691849
1836,-345.0,-245.0,0.14809083994850208
1837,-345.0,-235.0,0.13319590078611454
1838,-345.0,-225.0,0.12069303497464612
1839,-345.0,-215.0,0.11002692474016114
1840,-345.0,-205.0,0.10079873995252
1841,-345.0,-195.0,0.09271446952684605
1842,-345.0,-185.0,0.08555274304877408
1843,-345.0,-175.0,0.07914397723662686
1844,-345.0,-165.0,0.07335643045145288
1845,-345.0,-155.0,0.06808666745892689
1846,-345.0,-145.0,0.06325296878682449
1847,-345.0,-135.0,0.058790805590099714
1848,-345.0,-125.0,0.054649856731216084
1849,-345.0,-115.0,0.05079227654820245
1850,-345.0,-105.0,0.047192075212656275
1851,-345.0,-95.0,0.04383553690043757
1852,-345.0,-85.0,0.04072246680064454
1853,-345.0,-75.0,0.037867462145074034
1854,-345.0,-65.0,0.035299037008453465
1855,-345.0,-55.0,0.033052873534426236
1856,-345.0,-45.0,0.031156999729262475
1857,-345.0,-35.0,0.029614803786610765
1858,-345.0,-25.0,0.028398679740662756
1859,-345.0,-15.0,0.027458775636122888
1860,-345.0,-5.0,0.0267376012986556
1861,-345.0,5.0,0.026180774626829578
1862,-345.0,15.0,0.0257416896881639
1863,-345.0,25.0,0.02538225143957675
1864,-345.0,35.0,0.025072175552577222
1865,-345.0,45.0,0.024788390545328963
1866,-345.0,55.0,0.024514942279650342
1867,-345.0,65.0,0.024242717875796238
1868,-345.0,75.0,0.023968107979628173
1869,-345.0,85.0,0.023690845048300567
1870,-345.0,95.0,0.023412075739802446
1871,-345.0,105.0,0.02313323649247176
1872,-345.0,115.0,0.022855596293880665
1873,-345.0,125.0,0.02258014581092632
1874,-345.0,135.0,0.02230761713072888
1875,-345.0,145.0,0.022038536121430977
1876,-345.0,155.0,0.021773273061770355
1877,-345.0,165.0,0.021512083013676846
1878,-345.0,175.0,0.021255135954850905
1879,-345.0,185.0,0.02100253877422966
1880,-345.0,195.0,0.020754351273219156
1881,-345.0,205.0,0.02051059786590303
1882,-345.0,215.0,0.020271276209931244
1883,-345.0,225.0,0.02003636363814172
1884,-345.0,235.0,0.019805822001180428
1885,-345.0,245.0,0.019579601350532674
1886,-345.0,255.0,0.019357642766487375
1887,-345.0,265.0,0.01913988054906941
1888,-345.0,275.0,0.018926243929619214
1889,-345.0,285.0,0.018716658418169906
1890,-335.0,-325.0,1.598338784643528
1891,-335.0,-315.0,0.7881256612245839
1892,-335.0,-305.0,0.5216527768017567
1893,-335.0,-295.0,0.38837158533479055
1894,-335.0,-285.0,0.3083151211399225
1895,-335.0,-275.0,0.25491198816613125
1896,-335.0,-265.0,0.216687766737469
1897,-335.0,-255.0,0.18790372144117762
1898,-335.0,-245.0,0.1653924060024456
1899,-335.0,-235.0,0.14726647866882428
1900,-335.0,-225.0,0.1323288329146004
1901,-335.0,-215.0,0.11978053494268433
1902,-335.0,-205.0,0.1090661629042883
1903,-335.0,-195.0,0.09978682184021553
1904,-335.0,-185.0,0.09164849856255901
1905,-335.0,-175.0,0.08442991774795951
1906,-335.0,-165.0,0.07796173924628336
1907,-335.0,-155.0,0.07211268809824847
1908,-335.0,-145.0,0.06678013221533508
1909,-335.0,-135.0,0.06188366146883883
1910,-335.0,-125.0,0.05736081751907644
1911,-335.0,-115.0,0.05316448870162996
1912,-335.0,-105.0,0.049261714883956656
1913,-335.0,-95.0,0.045633754370630275
1914,-335.0,-85.0,0.04227714590269067
1915,-335.0,-75.0,0.03920487734073335
1916,-335.0,-65.0,0.03644532212129341
1917,-335.0,-55.0,0.03403494315773817
1918,-335.0,-45.0,0.032002394715060806
1919,-335.0,-35.0,0.030350320847070046
1920,-335.0,-25.0,0.029048515646261916
1921,-335.0,-15.0,0.028043224293752896
1922,-335.0,-5.0,0.02727271015535903
1923,-335.0,5.0,0.026678701365630424
