,A,B,M,V/I
489,-113.0,-111.0,1.0,-0.00024666923585223155
490,-113.0,-111.0,3.0,-0.0002382220823703672
491,-113.0,-111.0,5.0,-0.00023060832686475422
492,-113.0,-111.0,7.0,-0.00022355831088391627
493,-113.0,-111.0,9.0,-0.00021687537032431987
494,-113.0,-111.0,11.0,-0.00021044521833428302
495,-113.0,-111.0,13.0,-0.00020421850365091344
496,-111.0,-109.0,-107.0,-4.032403905543356
497,-111.0,-109.0,-105.0,-1.3038418368894602
498,-111.0,-109.0,-103.0,-0.6301897349699568
499,-111.0,-109.0,-101.0,-0.3587569183981314
500,-111.0,-109.0,-99.0,-0.22244114658600678
501,-111.0,-109.0,-97.0,-0.14541534622700625
502,-111.0,-109.0,-95.0,-0.09856309189326573
503,-111.0,-109.0,-93.0,-0.06859178246918668
504,-111.0,-109.0,-91.0,-0.04872280952885935
