,A,B,M,N,V/I
324,27.0,51.0,35.0,43.0,1.6505872595720272
325,29.0,53.0,37.0,45.0,1.6505145648231456
326,31.0,55.0,39.0,47.0,1.6504725678940058
327,33.0,57.0,41.0,49.0,1.6504479083499781
328,35.0,59.0,43.0,51.0,1.6504331821098597
329,37.0,61.0,45.0,53.0,1.6504242339728048
330,39.0,63.0,47.0,55.0,1.650418701000459
331,41.0,65.0,49.0,57.0,1.6504152208111735
332,43.0,67.0,51.0,59.0,1.6504129965862293
333,45.0,69.0,53.0,61.0,1.650411555352901
334,47.0,71.0,55.0,63.0,1.6504106120855244
335,49.0,73.0,57.0,65.0,1.6504099923693538
336,51.0,75.0,59.0,67.0,1.6504095878375558
337,53.0,77.0,61.0,69.0,1.6504093301606617
338,55.0,79.0,63.0,71.0,1.6504091756634294
339,57.0,81.0,65.0,73.0,1.6504090961041769
340,59.0,83.0,67.0,75.0,1.650409073072634
341,61.0,85.0,69.0,77.0,1.6504090945397707
342,63.0,87.0,71.0,79.0,1.650409152703634
343,65.0,89.0,73.0,81.0,1.6504092426244616
344,67.0,91.0,75.0,83.0,1.650409361343493
345,69.0,93.0,77.0,85.0,1.6504095072953002
346,71.0,95.0,79.0,87.0,1.6504096798873564
347,73.0,97.0,81.0,89.0,1.6504098791501094
348,75.0,99.0,83.0,91.0,1.6504101053623796
349,77.0,101.0,85.0,93.0,1.6504103585263818
350,79.0,103.0,87.0,95.0,1.6504106374873542
351,81.0,105.0,89.0,97.0,1.650410938325546
352,83.0,107.0,91.0,99.0,1.6504112513122462
353,85.0,109.0,93.0,101.0,1.6504115550513547
354,87.0,111.0,95.0,103.0,1.6504118050906527
355,89.0,113.0,97.0,105.0,1.6504119116137783
356,91.0,115.0,99.0,107.0,1.6504116955026116
357,93.0,117.0,101.0,109.0,1.6504108016286319
358,95.0,119.0,103.0,111.0,1.6504085285318562
359,97.0,121.0,105.0,113.0,1.6504034993209231
360,99.0,123.0,107.0,115.0,1.650393048551011
361,101.0,125.0,109.0,117.0,1.6503721540552392
362,103.0,127.0,111.0,119.0,1.6503317449503847
363,-127.0,-79.0,-111.0,-95.0,0.4639341044160127
364,-125.0,-77.0,-109.0,-93.0,0.4639445797013409
365,-123.0,-75.0,-107.0,-91.0,0.4639493772814002
366,-121.0,-73.0,-105.0,-89.0,0.46395110039203336
367,-119.0,-71.0,-103.0,-87.0,0.4639512544795315
368,-117.0,-69.0,-101.0,-85.0,0.46395065829639914
369,-115.0,-67.0,-99.0,-83.0,0.46394974001882405
370,-113.0,-65.0,-97.0,-81.0,0.46394871732125015
371,-111.0,-63.0,-95.0,-79.0,0.4639476976844629
372,-109.0,-61.0,-93.0,-77.0,0.4639467318960838
373,-107.0,-59.0,-91.0,-75.0,0.46394584203809464
374,-105.0,-57.0,-89.0,-73.0,0.4639450360451037
375,-103.0,-55.0,-87.0,-71.0,0.4639443153142434
376,-101.0,-53.0,-85.0,-69.0,0.4639436787725907
377,-99.0,-51.0,-83.0,-67.0,0.46394312520471437
378,-97.0,-49.0,-81.0,-65.0,0.4639426548439922
379,-95.0,-47.0,-79.0,-63.0,0.46394227087625683
380,-93.0,-45.0,-77.0,-61.0,0.46394198142461907
381,-91.0,-43.0,-75.0,-59.0,0.46394180273365015
382,-89.0,-41.0,-73.0,-57.0,0.4639417647022089
383,-87.0,-39.0,-71.0,-55.0,0.46394192079881724
384,-85.0,-37.0,-69.0,-53.0,0.4639423660957055
385,-83.0,-35.0,-67.0,-51.0,0.46394327039462624
386,-81.0,-33.0,-65.0,-49.0,0.4639449395846767
387,-79.0,-31.0,-63.0,-47.0,0.46394793019347774
388,-77.0,-29.0,-61.0,-45.0,0.4639532649285795
389,-75.0,-27.0,-59.0,-43.0,0.46396284152091577
390,-73.0,-25.0,-57.0,-41.0,0.46398021488423946
391,-71.0,-23.0,-55.0,-39.0,0.464012107607909
392,-69.0,-21.0,-53.0,-37.0,0.46407135851512304
393,-67.0,-19.0,-51.0,-35.0,0.4641827518277288
394,-65.0,-17.0,-49.0,-33.0,0.4643947154551873
395,-63.0,-15.0,-47.0,-31.0,0.4648031834462999
396,-61.0,-13.0,-45.0,-29.0,0.4656007926592288
397,-59.0,-11.0,-43.0,-27.0,0.4671761008818761
398,-57.0,-9.0,-41.0,-25.0,0.47028497585980844
399,-55.0,-7.0,-39.0,-23.0,0.4761662257085932
400,-53.0,-5.0,-37.0,-21.0,0.48596692106735057
401,-51.0,-3.0,-35.0,-19.0,0.4995663014156501
402,-49.0,-1.0,-33.0,-17.0,0.516020289309963
403,-47.0,1.0,-31.0,-15.0,0.5343335651021253
404,-45.0,3.0,-29.0,-13.0,0.5536077031478877
405,-43.0,5.0,-27.0,-11.0,0.5732922495165195
