# Declination : 7.79138 Degrees
# Inclination : 65.97 Degrees
# Total Field : 51_345.6 nT
Easting (m),Northing (m),Elevation (m),Total Magnetic Anomaly (nT),Standard Deviation (nT)
0.0,500.0,100.0,-157.129717979471,5.0
0.0,600.0,100.0,-185.60631205977856,5.0
0.0,700.0,100.0,-169.77495092412258,5.0
0.0,800.0,100.0,-144.87994347343354,5.0
0.0,900.0,100.0,-117.27222749121758,5.0
0.0,1000.0,100.0,-99.5444652904297,5.0
0.0,1100.0,100.0,-68.95515824122498,5.0
0.0,1200.0,100.0,-53.17288660086403,5.0
0.0,1300.0,100.0,-42.59454086670296,5.0
0.0,1400.0,100.0,-46.491720258129064,5.0
0.0,1500.0,100.0,-27.255212312873315,5.0
100.0,-1500.0,100.0,4.7373741315832545,5.0
100.0,-1400.0,100.0,4.25851177076909,5.0
100.0,-1300.0,100.0,9.448566591978537,5.0
100.0,-1200.0,100.0,19.433961716379006,5.0
